months,ICO composite indicator,Colombian Milds,Other Milds,Brazilian Naturals,Robustas
05/2009,2.716335540838852,1.964679911699779,0.6167770419426049,-0.1026490066225163,-1.0470198675496687
06/2009,2.6280353200883,1.7057395143487857,0.678587196467991,-0.0801324503311256,-0.9991169977924943
07/2009,2.492273730684327,1.6421633554083876,0.6181015452538627,-0.112582781456954,-0.9099337748344372
08/2009,2.5927152317880795,1.4997792494481228,0.7132450331125821,-0.013024282560706535,-0.9955849889624726
09/2009,2.5695364238410594,1.3476821192052975,0.7092715231788076,-0.005298013245033317,-0.9399558498896248
10/2009,2.6730684326710814,1.2591611479028697,0.7390728476821189,0.07792494481236201,-1.0503311258278143
11/2009,2.6417218543046355,1.2949227373068428,0.7183222958057396,0.14348785871964687,-1.1079470198675494
12/2009,2.7584988962472403,1.4823399558498895,0.7328918322295803,0.17395143487858666,-1.2156732891832227
01/2010,2.800220750551876,1.780573951434878,0.7075055187637971,0.10640176600441453,-1.2532008830022074
02/2010,2.723399558498896,1.7955849889624722,0.7613686534216337,0.026490066225165254,-1.224944812362031
03/2010,2.766004415011037,1.7750551876379688,0.8653421633554084,0.020088300220750366,-1.281456953642384
04/2010,2.801103752759382,1.6028697571743922,0.9348785871964678,-0.02604856512141307,-1.2222958057395146
05/2010,2.8278145695364234,1.594481236203091,0.9973509933774829,-0.017218543046357393,-1.2690949227373065
06/2010,3.139072847682119,1.8165562913907287,1.075055187637969,0.022075055187637638,-1.4410596026490063
07/2010,3.3865342163355403,1.8125827814569537,1.0993377483443711,0.07637969094922781,-1.5041942604856506
08/2010,3.475938189845474,1.9099337748344367,1.1949227373068436,0.12693156732891842,-1.650772626931567
09/2010,3.611699779249448,1.857836644591611,1.3046357615894042,0.2547461368653421,-1.8174392935982338
10/2010,3.56644591611479,1.5112582781456956,1.2379690949227369,0.3050772626931564,-1.6841059602649004
11/2010,3.8388520971302422,1.5479028697571748,1.3152317880794704,0.36909492273730704,-1.8070640176600437
12/2010,4.067549668874172,1.7154525386313475,1.4108167770419424,0.44128035320088266,-1.9905077262693154
01/2011,4.356512141280352,1.821854304635762,1.4662251655629142,0.4949227373068439,-2.1249448123620303
02/2011,4.76887417218543,1.7750551876379692,1.5863134657836646,0.6836644591611485,-2.354966887417218
03/2011,4.952097130242826,1.6854304635761581,1.4953642384105956,0.8090507726269314,-2.3443708609271527
04/2011,5.104635761589404,1.8037527593818972,1.5205298013245026,0.930684326710816,-2.513686534216336
05/2011,5.032450331125827,1.6379690949227381,1.3933774834437083,0.8982339955849898,-2.339735099337748
06/2011,4.758940397350993,1.5975717439293593,1.3112582781456954,0.7728476821192052,-2.1551876379690946
07/2011,4.643708609271523,1.6523178807947012,1.2728476821192043,0.779911699779249,-2.155187637969095
08/2011,4.6841059602649,1.650772626931568,1.2858719646799113,0.8309050772626936,-2.2101545253863133
09/2011,4.702869757174392,1.6445916114790293,1.365121412803532,0.9403973509933774,-2.3615894039735092
10/2011,4.280353200883002,1.4075055187637977,1.1902869757174388,0.8913907284768214,-2.114790286975717
11/2011,4.275055187637968,1.3980132450331126,1.1353200883002215,0.9512141280353203,-2.1284768211920526
12/2011,4.172626931567328,1.3814569536423837,1.052759381898455,0.8779249448123618,-2.000220750551876
01/2012,4.169977924944812,1.4792494481236202,1.066445916114791,0.8677704194260487,-2.0348785871964674
02/2012,4.0240618101545245,1.3653421633554084,0.924282560706402,0.7309050772626939,-1.7739514348785863
03/2012,3.703532008830022,1.215673289183223,0.7392935982339948,0.5355408388520964,-1.4172185430463582
04/2012,3.5421633554083884,1.1920529801324502,0.6841059602649002,0.45121412803532035,-1.2949227373068433
05/2012,3.480794701986755,1.0958057395143483,0.5953642384105957,0.36401766004415004,-1.1214128035320092
06/2012,3.207726269315673,0.8688741721854303,0.5161147902869758,0.23973509933774828,-0.8743929359823399
07/2012,3.511479028697571,0.9600441501103756,0.6927152317880791,0.3732891832229588,-1.1481236203090504
08/2012,3.278145695364238,0.8529801324503308,0.5810154525386317,0.25496688741721885,-0.9267108167770419
09/2012,3.3395143487858716,0.8569536423841058,0.6114790286975715,0.33664459161147864,-1.022737306843267
10/2012,3.247682119205298,0.756512141280353,0.5783664459161151,0.3108167770419423,-0.9415011037527594
